Threshold,Threshold Label,Threshold Type,newsFlash:
News Flash,news.alert1,Flash,"id: 'news.alert1',
    label: 'News Flash',
    baseLabel: 'News Flash',
    vertical: verticals.news,
    icon: icons.bolt,
    priority: 0,
  },
  psFlash:"
PS Flash,gov.alert1,Flash,"id: 'gov.alert1',
    label: 'PS Flash',
    baseLabel: 'PS Flash',
    vertical: verticals.govt,
    icon: icons.bolt,
    priority: 0,
  },
  csFlash:"
Corporate Flash,corporate.alert1,Flash,"id: 'corporate.alert1',
    label: 'Corporate Flash',
    baseLabel: 'Corporate Flash',
    vertical: verticals.corporate,
    icon: icons.bolt,
    priority: 0,
  },
  globalUrgent:"
Global Urgent,general.alert2.global,Global Urgent,"id: 'general.alert2.global',
    label: 'Global Urgent',
    baseLabel: 'Global Urgent',
    icon: icons.flagSolid,
    priority: 1,
  },
  globalUrgentUpdate:"
Global Urgent Update,general.alert2.global.followup,Global Urgent,"id: 'general.alert2.global.followup',
    label: 'Global Urgent Update',
    baseLabel: 'Global Urgent',
    icon: icons.flagSolid,
    priority: 1,
  },
  psGlobalUrgent:"
Global Urgent PS Only,gov.alert2.global,Global Urgent,"id: 'gov.alert2.global',
    label: 'Global Urgent PS Only',
    baseLabel: 'Global Urgent',
    icon: icons.codeBranch,
    priority: 1,
  },
  psGlobalUrgentUpdate:"
Global Urgent PS Update Only,gov.alert2.global.followup,Global Urgent,"id: 'gov.alert2.global.followup',
    label: 'Global Urgent PS Update Only',
    baseLabel: 'Global Urgent',
    icon: icons.codeBranch,
    priority: 1,
  },
  globalMomentum:"
Global Momentum,news.momentum.global,Global Momentum,"id: 'news.momentum.global',
    label: 'Global Momentum',
    baseLabel: 'Global Momentum',
    icon: icons.angleDoubleUp,
    priority: 1,
  },
  nationalUrgent:"
National Urgent,general.alert2,National Urgent,"id: 'general.alert2',
    label: 'National Urgent',
    baseLabel: 'National Urgent',
    icon: icons.flagSolid,
    priority: 2,
  },
  nationalUrgentUpdate:"
National Urgent Update,general.alert2.followup,National Urgent,"id: 'general.alert2.followup',
    label: 'National Urgent Update',
    baseLabel: 'National Urgent',
    icon: icons.flagSolid,
    priority: 2,
  },
  psNationalUrgent:"
National Urgent PS Only,gov.alert2,National Urgent,"id: 'gov.alert2',
    label: 'National Urgent PS Only',
    baseLabel: 'National Urgent',
    icon: icons.codeBranch,
    priority: 2,
  },
  psNationalUrgentUpdate:"
National Urgent PS Update Only,gov.alert2.followup,National Urgent,"id: 'gov.alert2.followup',
    label: 'National Urgent PS Update Only',
    baseLabel: 'National Urgent',
    icon: icons.codeBranch,
    priority: 2,
  },
  nationalMomentum:"
National Momentum,news.momentum,National Momentum,"id: 'news.momentum',
    label: 'National Momentum',
    baseLabel: 'National Momentum',
    icon: icons.angleDoubleUp,
    priority: 2,
  },
  localUrgent:"
Local Urgent,general.alert2.local,Local Urgent,"id: 'general.alert2.local',
    label: 'Local Urgent',
    baseLabel: 'Local Urgent',
    icon: icons.flagSolid,
    priority: 3,
  },
  localUrgentUpdate:"
Local Urgent Update,general.alert2.local.followup,Local Urgent,"id: 'general.alert2.local.followup',
    label: 'Local Urgent Update',
    baseLabel: 'Local Urgent',
    icon: icons.flagSolid,
    priority: 3,
  },
  psLocalUrgent:"
Local Urgent PS Only,gov.alert2.local,Local Urgent,"id: 'gov.alert2.local',
    label: 'Local Urgent PS Only',
    baseLabel: 'Local Urgent',
    icon: icons.codeBranch,
    priority: 3,
  },
  psLocalUrgentUpdate:"
Local Urgent PS Update Only,gov.alert2.local.followup,Local Urgent,"id: 'gov.alert2.local.followup',
    label: 'Local Urgent PS Update Only',
    baseLabel: 'Local Urgent',
    icon: icons.codeBranch,
    priority: 3,
  },
  signal:"
Signal,general.alert3,Signal,"id: 'general.alert3',
    label: 'Signal',
    baseLabel: 'Signal',
    icon: icons.exclamationTriangle,
    priority: 4,
  },
  signalUpdate:"
Signal Update,general.alert3.followup,Signal,"id: 'general.alert3.followup',
    label: 'Signal Update',
    baseLabel: 'Signal',
    icon: icons.exclamationTriangle,
    priority: 4,
  },
  otherSignal:"
Other Signal,general.alert3.needshl,Signal,"id: 'general.alert3.needshl',
    label: 'Other Signal',
    baseLabel: 'Signal',
    icon: icons.exclamationTriangle,
    priority: 4,
  },
  otherSignalUpdate:"
Other Signal Update,general.alert3.needshl.followup,Signal,"id: 'general.alert3.needshl.followup',
    label: 'Other Signal Update',
    baseLabel: 'Signal',
    icon: icons.exclamationTriangle,
    priority: 4,
  },
  localSignal:"
Local Signal,general.alert4,Local Signal,"id: 'general.alert4',
    label: 'Local Signal',
    baseLabel: 'Local Signal',
    icon: icons.exclamationTriangle,
    priority: 5,
  },
  localSignalUpdate:"
Local Signal Update,general.alert4.followup,Local Signal,"id: 'general.alert4.followup',
    label: 'Local Signal Update',
    baseLabel: 'Local Signal',
    icon: icons.exclamationTriangle,
    priority: 5,
  },
  otherLocalSignal:"
Other Local Signal,general.alert4.needshl,Local Signal,"id: 'general.alert4.needshl',
    label: 'Other Local Signal',
    baseLabel: 'Local Signal',
    icon: icons.exclamationTriangle,
    priority: 5,
  },
  otherLocalSignalUpdate:"
Other Local Signal Update,general.alert4.needshl.followup,Local Signal,"id: 'general.alert4.needshl.followup',
    label: 'Other Local Signal Update',
    baseLabel: 'Local Signal',
    icon: icons.exclamationTriangle,
    priority: 5,
  },
  hyperspecificSignal:"
