dim_esdc_grp.esdcs,fact_alert.alert_id,fact_alert.original_text,fact_alert.source_link,fact_alert.caption,dim_internal_topic_grp.internal_topics,alert_top_threshold.top_threshold__sort_,alert_top_threshold.top_threshold,fact_alert.translated_text,dim_auto_alert_modelset.modelset_name,dim_source.source,primary_source_channel.channel,fact_alert.has_tagged_company,fact_alert.location_name,dim_internal_place.country,fact_alert.location_parsed,fact_alert.alert_caption_ai_summary
"ESDC - Aerospace & Defense, ESDC - Cyber - Data Exposure & Breaches, ESDC - Cyber - Doxxing & Leaked Credentials, ESDC - Cyber - Hacking Services, ESDC - Data Security, ESDC - Fraud, ESDc - Cyber - Data Exposure & Breaches 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Aerospace & Defense",69325920799418488091781864681780-1781864681780-1,"The complete databases of CIA, NASA, and FBI, which were hacked in the #Flight_of_Whale attack today, are being evaluated, analyzed, and ready for sale; 
The size of each organization's database; 1G 
with extensions;  SQL-CVS- 
In order to buy a database, announce it in the direct channel!",https://t.me/Legion_Offlcial/844,"Legion hacking group says ""complete databases"" of CIA, NASA, and FBI, hacked in Flight of Whale attack, are ""being evaluated, analyzed, and ready for sale"": Local Source Photo.","+ Cyber - Aerospace & Defense - Industry Threats, + Data Security, + Fraud, Aerospace & Defense, Cyber - Data Exposure & Breaches - Data Security, Cyber - Hacking Services - Illicit Sales and Services, Cyber - Hacktivists - Threat Actors",2,National Urgent,,,tg,chatter,Yes,USA,United States of America,"38.7945952,-106.5348379","The Legion hacking group claims to have hacked ""complete databases"" of the CIA, NASA, and FBI in the Flight of Whale attack, and are now evaluating, analyzing, and preparing the data for sale."
"ESDC - Broadcasting, Cable, & Satellite, ESDC - Cyber - DDoS, ESDC - Key Nation Economic Activity Russia, ESDC - Media Coverage, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Media & Entertainment, ESDc - Industry Threats - Telecommunications",8850208588890368194-1781863801160-1,DDoSia target: www.rtbf.be (tcp) - ack ,https://www.rtbf.be,Pro-Russia NoName05716 hacking group adds Radio Television Belge de la Communaute Francaise S.A. domain www.rtbf.be to target list for planned DDoS attack: Local News Outlet.,"+ Cyber - Media & Entertainment - Industry Threats, + Cyber - Telecommunications - Industry Threats, + Media Coverage, Broadcasting, Cable, & Satellite, Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors, Russia - Economic",4,Signal,,dgm_mds_ddosia_target,rtbf,localnews,Yes,"Bd Auguste Reyers, 52, Brussels, Brussels, Belgium",Belgium,"50.8529729,4.4014884",Pro-Russia hacking group NoName05716 targets Belgian public broadcaster RTBF (www.rtbf.be) for a planned DDoS attack.
"ESDC - Broadcasting, Cable, & Satellite, ESDC - Cyber - Hacking Services, ESDC - Cyber - Remote Access & Management Systems, ESDC - Initial Access Threats 2, ESDc - Cyber - Deep & Dark Web Exposure, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Telecommunications, ESDc - Initial Access Threats, ESDc - Vendor Vulnerabilities",8024104569705037629-1781812695331-1,"Alleged leak of webshell access to BLUE-SKY
 The group claims to have leaked webshell access to BLUE-SKY.
Event Category: Initial Access",https://t.me/DeepCoreNetwork/425,DeepCore Network hacking group advertises alleged webshell access to multiple websites: Local Source.,"+ Cyber - Deep & Dark Web Exposure, + Cyber - Telecommunications - Industry Threats, + Cyber - Vendor Vulnerabilities, + Data Security, Broadcasting, Cable, & Satellite, Cyber - Hacking Services - Illicit Sales and Services, Cyber - Hacktivists - Threat Actors, Cyber - Initial Access Threats, Cyber - Remote Access & Management Systems - Vulnerabilities",3,Local Urgent,,dgm_falconfeeds_alert,tg,chatter,No,"Pahang, Malaysia",Malaysia,"4.210484,101.975766","DeepCore Network hacking group claims to have webshell access to multiple websites, according to a local source."
"ESDC - Chemicals, ESDC - Cyber - DDoS, ESDC - Cyber - Network Disruptions, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Chemicals",805116893478873498890781-1781768895563-1,"NoName targets the website of Eurenco
 Proof of Downtime: check-host.net/check-report/423347f0k49e/
Event Category: DDoS Attack",https://t.me/nnm05716english/2249,Pro-Russia NoName05716 hacking group claims DDoS attack against Eurenco website: Local Source.,"+ Cyber - Chemicals - Industry Threats, Chemicals, Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors, Cyber - Network Disruptions - Attack Vector",3,Local Urgent,,dgm_falconfeeds_ddos,tg,chatter,Yes,"26 All. des Saules, 84700 Sorgues, France",France,"43.9975958,4.8699552",Pro-Russia hacking group NoName05716 claims to have launched a DDoS attack on the website of Eurenco.
"ESDC - Chemicals, ESDC - Cyber - DDoS, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Chemicals",6979232753935021707-1781763000856-1,DDoSia target: eurenco.com (http2) - POST /wp-json/contact-form-7/v1/contact-forms/1350/feedback,https://eurenco.com/wp-json/contact-form-7/v1/contact-forms/1350/feedback,Pro-Russia NoName05716 hacking group adds Eurenco and EURENCO France (SA) domain eurenco.com to target list for planned DDoS attack: Corporate.,"+ Cyber - Chemicals - Industry Threats, Chemicals, Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors",4,Signal,,dgm_mds_ddosia_target,eurenco,corp,Yes,"Sorgues, France",France,"43.9959941,4.866091","Pro-Russia hacking group NoName05716 targets Eurenco and EURENCO France (SA) with planned DDoS attack, adding domain eurenco.com to its target list."
"ESDC - Chemicals, ESDC - Cyber - DDoS, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Chemicals",49526239547989364-1781763000866-1,DDoSia target: eurenco.com (tcp) - ack ,https://eurenco.com,Pro-Russia NoName05716 hacking group adds Eurenco domain eurenco.com to target list for planned DDoS attack: Corporate.,"+ Cyber - Chemicals - Industry Threats, Chemicals, Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors",4,Signal,DDoS attack target: eurenco.com (TCP) - ACK ,dgm_mds_ddosia_target,eurenco,corp,Yes,"Sorgues, France",France,"43.9959941,4.866091",Pro-Russia hacking group NoName05716 has added Eurenco (eurenco.com) to its target list for a planned DDoS attack.
"ESDC - Clothing & Apparel, ESDC - Cyber - Defacement, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Consumer Products",659047124908981404-1781790545582-1,"EXADOS targets the website of Hermes holiday
 The group claims to have defaced the website of Hermes holiday
Event Category: Defacement",https://t.me/EXA_DOS_KH/311,Exados hacking group defaces Hermès website: Local Source.,"+ Cyber - Consumer Products - Industry Threats, Clothing & Apparel, Cyber - Defacement - Attack Vector, Cyber - Hacktivists - Threat Actors",4,Signal,,dgm_falconfeeds_defacement,tg,chatter,Yes,"24 Rue du Faubourg Saint-Honoré, 75008 Paris, France",France,"48.8690615,2.3218392",Exados hacking group defaces Hermès website.
"ESDC - Consulting & Commercial Services, ESDC - Cyber - DDoS, ESDC - Cyber - Network Disruptions, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Professional Services",623026248058920874-1781861108621-1,"NoName targets the website of idp.iamfas.belgium.be
 The group claims to target website idp.iamfas.belgium.be ,part of Belgium's federal digital identity and authentication infrastructure, operated by the Belgian government through the Federal Authentication Service (FAS).  

Proof of Downtime: check-host.net/check-report/42484000k42d
Event Category: DDoS Attack",https://t.me/nnm05716english/2257,Pro-Russia NoName05716 hacking group claims DDoS attack against idp.iamfas.belgium.be website: Local Source.,"+ Cyber - Professional Services - Industry Threats, Consulting & Commercial Services, Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors, Cyber - Network Disruptions - Attack Vector",3,Local Urgent,,dgm_falconfeeds_ddos,tg,chatter,Yes,"Bd Roi Albert II 16/1, 1000 Bruxelles, Belgium",Belgium,"50.8584315,4.3559384",Pro-Russia NoName05716 hacking group claims DDoS attack against Belgian website idp.iamfas.belgium.be.
"ESDC - Consulting & Commercial Services, ESDC - Cyber - DDoS, ESDC - Cyber - Network Disruptions, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Professional Services",3173134429527871020-1781761069705-1,"Dark Storm Team targets the website of Ministry of Education, Saudi Arabia
 Proof of downtime - https://check-host.net/check-report/42307295kec
Event Category: DDoS Attack",https://t.me/Darkstormteam22/267,"Dark Storm Team hacking group claims DDoS attack against Ministry of Education, Saudi Arabia website: Local Source.","+ Cyber - Professional Services - Industry Threats, Consulting & Commercial Services, Cyber - DDoS - Attack Vector, Cyber - Government Buildings - Cyber-Physical, Cyber - Hacktivists - Threat Actors, Cyber - Network Disruptions - Attack Vector",3,Local Urgent,,dgm_falconfeeds_ddos,tg,chatter,Yes,"Kota Kinabalu International Airport (BKI), 134, Aras 5 邮政, 编码:, 88740 Kota Kinabalu, Sabah, Malaysia",Malaysia,"5.923283,116.0512391",Dark Storm Team claims DDoS attack on Saudi Arabia's Ministry of Education website.
"ESDC - Consulting & Commercial Services, ESDC - Cyber - DDoS, ESDC - Media Coverage, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Professional Services",0503094551709961185-1781849401080-1,DDoSia target: mobilit.belgium.be (http) - GET /nl/search?text=$_1&f%5B%5D=domain%3Aspoor,https://mobilit.belgium.be/nl/search?text=$_1&f%5B%5D=domain%3Aspoor,Pro-Russia NoName05716 hacking group adds Federale Overheidsdienst Mobiliteit en Vervoer domain mobilit.belgium.be to target list for planned DDoS attack: Local News Outlet.,"+ Cyber - Professional Services - Industry Threats, + Media Coverage, Consulting & Commercial Services, Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors",4,Signal,,dgm_mds_ddosia_target,fod mobilitei,localnews,Yes,"Brussels, Belgium",Belgium,"50.8476424,4.3571696",Pro-Russia hacking group NoName05716 has added the Belgian Federal Public Service Mobility and Transport domain (mobilit.belgium.be) to its target list for a planned DDoS attack.
