dim_esdc_grp.esdcs,fact_alert.alert_id,fact_alert.original_text,fact_alert.source_link,fact_alert.caption,dim_internal_topic_grp.internal_topics,alert_top_threshold.top_threshold__sort_,alert_top_threshold.top_threshold,fact_alert.translated_text,dim_auto_alert_modelset.modelset_name,dim_source.source,primary_source_channel.channel,fact_alert.has_tagged_company,fact_alert.location_name,dim_internal_place.country,fact_alert.location_parsed,fact_alert.alert_caption_ai_summary
"ESDC - Airports, ESDC - Floods, ESDC - Roadways - Logistics, ESDC - Roadways - Safety",1319077465-1781785977000-3,Cars are stuck on the exit ramp to Loyola Drive in Kenner. I've been seeing pics of a lot of flooding in Kenner by the airport. #lawx,https://twitter.com/AshleyReneeWx/status/2067586362224607492,"Vehicles stuck in floodwater on exit ramp to Loyola Drive near airport in Kenner, LA: Blog Photo.","+ Airports - Physical, + Floods, + Roadways - Logistics, + Roadways - Safety, Natural Disasters, Roadways - Physical",3,Local Urgent,,,twitter,blog,No,"Loyola Drive, Kenner, LA, USA",United States of America,"30.0215791,-90.2697267","Vehicles are stuck in floodwater on the exit ramp to Loyola Drive near the airport in Kenner, LA."
"ESDC - Airports, ESDC - Floods, ESDC - Roadways - Logistics, ESDC - Roadways - Safety",70034129361603429941781781558056-1781781558056-1,"Flooding in St. Charles Parish on Barton Avenue. Watch live coverage of multiple tornado warnings and flooding. https://www.wwltv.com/video/news/live_… See more
",https://www.facebook.com/reel/955211304163377,Heavy flooding causes multiple vehicles to stall on Interstate 10 near Louis Armstrong New Orleans Airport in Louisiana: Local News Outlet Video.,"+ Airports - Physical, + Floods, + Roadways - Logistics, + Roadways - Safety, + Tornados, + Weather Advisories, Natural Disasters, Roadways - Physical",0,Flash,,,fb,localnews,No,"Louis Armstrong New Orleans International Airport (MSY), Terminal Drive, Kenner, LA, USA",United States of America,"29.9940319,-90.259657",Heavy flooding on Interstate 10 near Louis Armstrong New Orleans Airport in Louisiana has caused multiple vehicles to stall.
"ESDC - Airports, ESDC - Floods, ESDC - Roadways - Logistics, ESDC - Roadways - Safety",2017797529-1781780947000-3,Major flooding underway near Louis Armstrong New Orleans International Airport. #lawx,https://twitter.com/RandomHeroWX/status/2067565264133054777,Heavy flooding reported near Louis Armstrong New Orleans Airport in Louisiana: Blog.,"+ Airports - Physical, + Floods, + Roadways - Logistics, + Roadways - Safety, + Tornados, + Weather Advisories, Aviation - Physical, Natural Disasters, Roadways - Physical",0,Flash,,,twitter,blog,No,"Louis Armstrong New Orleans International Airport (MSY), Terminal Drive, Kenner, LA, USA",United States of America,"29.9940319,-90.259657",Heavy flooding reported near Louis Armstrong New Orleans Airport in Louisiana.
"ESDC - Autos and Parts, ESDC - Floods, ESDC - Media Coverage, ESDC - Roadways - Logistics, ESDC - Roadways - Safety",1228502119-1781818605000-3,WATCH: Flooding on McHenry Road in Stone County as heavy rain continues to impact parts of south Mississippi.,https://twitter.com/SuperTalkNews/status/2067723215045030041,"Flooding on McHenry Road in Stone County, MS: Local News Outlet Video.","+ Floods, + Media Coverage, + Roadways - Logistics, + Roadways - Safety, Autos and Parts, Natural Disasters, Roadways - Physical",4,Signal,,hyperspecific_traffic,twitter,localnews,Yes,"McHenry Rd, Mississippi, USA",United States of America,"30.6295753,-89.2458234","Flooding reported on McHenry Road in Stone County, MS, as of June 18, 2026."
"ESDC - Chemicals, ESDC - Floods, ESDC - Freight & Logistics, ESDC - Healthcare - Biotechnology & Pharmaceuticals, ESDC - Media Coverage, ESDC - Roadways - Logistics, ESDC - Roadways - Safety, ESDC - Weather Advisories",399494380-1781764888000-3,9 FIRST WARNING: Several Flash Flood Warnings issued for our area. We are getting several reports of standing water on roads and interstates and a report of 6-8 inches of standing water in South Lebanon.,https://twitter.com/MarkStitz/status/2067497909109551152,"Several Flash Flood Warnings issued and standing water reported on roads in South Lebanon, OH: Reporter Photo.","+ Floods, + Media Coverage, + Roadways - Logistics, + Roadways - Safety, + Weather Advisories, Chemicals, Financials - Diversified Banks & Asset Management, Freight & Logistics, Healthcare - Biotechnology & Pharmaceuticals, Insurance - Auto, Home, & Life, Natural Disasters, Roadways - Physical",3,Local Urgent,,,twitter,reporter,Yes,"South Lebanon, Ohio, USA",United States of America,"39.3708927,-84.2132698","Flash Flood Warnings issued in South Lebanon, OH, with reports of standing water on roads."
"ESDC - Consulting & Commercial Services, ESDC - Floods, ESDC - Media Coverage, ESDC - Weather Advisories",406074802-1781790300000-3,"As the region wakes up to heavy overnight rainfall, the Toronto and Region Conservation Authority has issued a flood warning. #Toronto #FIFA  https://t.co/WNsRK5xKuV",https://nowtoronto.com/news/trca-issues-flood-warning-as-heavy-rain-continues-across-toronto-region/,"Toronto and Region Conservation Authority issues flood warning due to heavy rainfall in Lower Don River Trail, Toronto, ON, Canada: Blog.","+ Floods, + Media Coverage, + Weather Advisories, Consulting & Commercial Services, Natural Disasters",4,Signal,,uf_ca_en_mds_pas_revision,now magazine,blog,Yes,"Lower Don River Trail, Toronto, ON, Canada",Canada,"43.6758031,-79.3627621","Toronto and Region Conservation Authority issues flood warning due to heavy rainfall in Lower Don River Trail, Toronto, ON, Canada."
"ESDC - Consumer Products, ESDC - Floods, ESDC - Healthcare - Biotechnology & Pharmaceuticals, ESDC - Media Coverage, ESDC - Roadways - Logistics, ESDC - Roadways - Safety, ESDC - Utilities - Industry, ESDC - Weather Advisories",620668161-1781771749000-3,"Flash Flood Warning continues for Brown, OH & Clermont, OH until 7:00 AM EDT. Life-threatening flash flooding from heavy rain; 2-4"" already, 1-1.5""/hr possible. Turn around, don’t drown—avoid flooded roads/underpasses.",https://twitter.com/ohiowxnetwork/status/2067526687517024445,"Flash Flood Warning continues for Brown and Clermont, OH until 07:00: Local News Outlet Photo.","+ Floods, + Media Coverage, + Roadways - Logistics, + Roadways - Safety, + Weather Advisories, Consumer - Alcohol, Healthcare - Biotechnology & Pharmaceuticals, Natural Disasters, Retail - Department Stores, Retail - Supermarkets, Food & Drug, Roadways - Physical, Utilities - Industry",3,Local Urgent,,,twitter,localnews,Yes,"Clermont, OH, USA",United States of America,"39.0928449,-84.1857115","A Flash Flood Warning remains in effect for Brown and Clermont, OH until 07:00."
"ESDC - Consumer Products, ESDC - Floods, ESDC - Media Coverage, ESDC - Roadways - Logistics, ESDC - Roadways - Safety",498603241-1781817655000-3,⚠️Fulton Co: I-285/sb (Outer Loop) at a crawl here passing Hollowell Pkwy (Exit 12) due to flooding in the work zone at I-20. #ATLtraffic,https://twitter.com/WSBTraffic/status/2067719231815217220,"Flooding prompts traffic delays on Interstate 285 southbound at Hollowell Parkway in Atlanta, GA: Local News Outlet Video.","+ Floods, + Media Coverage, + Roadways - Logistics, + Roadways - Safety, Consumer - Alcohol, Natural Disasters, Retail - Supermarkets, Food & Drug, Roadways - Physical",4,Signal,,hyperspecific_traffic,twitter,localnews,Yes,"I-285, Atlanta, GA, USA",United States of America,"33.7457679,-84.4983437","Flooding causes traffic delays on I-285 southbound at Hollowell Parkway in Atlanta, GA."
"ESDC - Consumer Products, ESDC - Floods, ESDC - Roadways - Logistics, ESDC - Roadways - Safety",7220458522453428511781803802152-1781803802152-1,"Major flooding in Wiggins, Mississippi",https://www.facebook.com/reel/1332845972313792/?__cft__[0]=AZY6JLHiNk50z_ksMCzBjk82G6-dWhhhEL3-krNvJluJ4Hqfb9ZKNi732Peat-Jwt2J6oXQGE9cWB1LqpsBuRs3aJnCIAFVnBnC13OSkGRwGcEYAU5VWjAUqDSfuabh5zvh3vzPAZtRWCJ_0h_a2AaGkAMgEQ_r88-N7kT4w0mTyIsNgc_JyLMFOe4Ejz2iflmgXyVMk3iZDq33wmUUOza_x&__tn__=%2CO%2CP-R,"Heavy flooding reported in Wiggins, MS: Blog.","+ Floods, + Roadways - Logistics, + Roadways - Safety, Consumer - Alcohol, Food Products & Supply, Natural Disasters, Retail - Electronics, Home, & Other, Roadways - Physical",3,Local Urgent,"Major flooding in Wiggins, Mississippi",,fb,blog,Yes,"Wiggins, MS, USA",United States of America,"30.858244,-89.1353283","Heavy flooding reported in Wiggins, MS."
"ESDC - Consumer Products, ESDC - Floods, ESDC - Roadways - Logistics, ESDC - Roadways - Safety, ESDC - Weather Advisories",1771137447-1781799623000-3,FLASH FLOOD EMERGENCY FOR WIGGINS MISSISSIPPI!!!!!! CASTAROPHIC FLOODING HAPPENING RIGHT NOW!!!!! SEEK HIGHER GROUND NOW!!!!!!,https://twitter.com/WilbanksLu45828/status/2067643598737203393,"Flash flood warning issued for Wiggins, MS: Local Source Photo.","+ Floods, + Roadways - Logistics, + Roadways - Safety, + Weather Advisories, Consumer - Alcohol, Food Products & Supply, Natural Disasters, Retail - Electronics, Home, & Other, Roadways - Physical",3,Local Urgent,,,twitter,chatter,Yes,"Wiggins, MS, USA",United States of America,"30.858244,-89.1353283","A flash flood warning has been issued for Wiggins, MS, as of June 18, 2026, at 16:26:44.863."
