DE TOPICS,DE GUID,Active DE Topic?,News External,News GUID,Gov External,Gov GUID,Finance External,Finance GUID,Corporate Security External,CS GUID,PR External,PR Guid
Public Messaging,188100,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Public Messaging|Conflicts - Land|Public Messaging|Conflicts|Conflicts - Land|Extremist Public Messaging,3210401205825034252|154013|154014|410001|400009|400033,,,Extremist Public Messaging|Conflicts|Extremist Public Messaging,124001|335630|853087,,
Conflict Human Interest,188101,0,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Human Interest,5026585931217654661,,,,,,
Political Commentary,188102,0,Politics & Policy - Politics|Politics,67177469537839099|5043005248907950115,Political Commentary,6206582500763764528,,,,,,
Trending International Affairs,188103,0,Politics & Policy - Social Issues|Social Issues,67177469537839100|3203190180981192997,Social Action,4814923725810701199,,,,,,
Macroeconomy,188104,1,Business - Macroeconomy|Business,67177469537839052|7622234820652165508,Business and Economics - Macroeconomy|Business|Business & Economics - Macroeconomy,6997616078032778337|410000|400003,Macroeconomy - Economic Policy & Central Banks,8570942375339472880,Business and Economics - Macroeconomy|Business|Business & Economics - Macroeconomy,124002|177711|853074,Government and Policy - Economics,200000
Financial Markets,188105,1,Business - Financial Markets|Business,67177469537839050|7622234820652165508,Business and Economics - Financial Markets|Business|Business & Economics - Financial Markets,1624672930570477559|410000|400001,,,Business and Economics - Financial Markets|Business|Business & Economics - Financial Markets,124003|177711|853072,,
Labor Issues,188106,1,Business - Labor Issues|Business,67177469537839051|7622234820652165508,Business and Economics - Labor Issues|Business|Business & Economics - Labor Issues,3845272810287159759|410000|400002,,,Business and Economics - Labor Issues|Business|Business & Economics - Labor Issues,124004|177711|853073,Infrastructure and Disruption - Labor Issues,200001
Public Disruption,188108,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Infrastructure - Public Infrastructure Disruption|Public Disruptions|Public Disruptions,154037|410008|400089,Infrastructure - Disruption,9043828890279022963,Public Disruptions|Public Disruptions,124006|853093,Public Safety and Unrest - Public Disruptions,200002
Crime - Narcotics,188109,1,Crime & Public Safety|Legal Action and Crime,67177469537839053|4897800803029175834,Public Safety - Goods and Services|Physical Threats - Crime|Crime|Transnational Crime - Narcotics|Crime - Narcotics,2783920394155723317|420033|410002|400115|420133,,,Crime - Narcotics|Crime|Crime - Narcotics,124007|247357|853101,,
Crime - Courts & Legal Action,188110,1,Legal Action|Legal Action and Crime,67177469537839059|4897800803029175834,Public Safety - Legal Action|Physical Threats - Crime|Crime|Crime - Legal Action,5044295199815244596|420033|410002|400019,,,Crime - Legal Action|Crime|Crime - Legal Action,124008|247357|853100,,
Crime - Transnational,188111,1,Crime & Public Safety|Legal Action and Crime,67177469537839053|4897800803029175834,Public Safety - Transnational|Physical Threats - Crime|Crime|Transnational Crime - Organized Crime|Crime - Transnational,2833729988092843991|420033|410002|400116|420134,,,Crime - Transnational|Crime|Crime - Transnational,124009|247357|853102,Public Safety and Unrest - Crime and Terrorism,200003
Infrastructure - Utilities,188113,0,Outages & Service Disruptions - Uncategorized Outages & Service Disruptions|Transportation and Infrastructure,67177469537839064|3740096349638483156,Infrastructure - Utilities|Transportation & Infrastructure,154035|410010,Infrastructure - Utilities,6410390538140005318,Infrastructure - Utilities|Transportation & Infrastructure,124011|726708,Infrastructure and Disruption - Utilities,200004
Infrastructure - Education,188114,1,Crime & Public Safety|Transportation and Infrastructure,67177469537839053|3740096349638483156,Infrastructure - Education|Transportation & Infrastructure|Infrastructure Security - Schools,154026|410010|400060,Infrastructure - Education,1325011362882470562,Infrastructure - Public|Transportation & Infrastructure|Infrastructure Security - Schools,124010|726708|853032,Infrastructure and Disruption - Education,200005
Infrastructure - Medical,188115,1,Crime & Public Safety|Transportation and Infrastructure,67177469537839053|3740096349638483156,Infrastructure - Medical|Transportation & Infrastructure|Infrastructure Security - Hospitals ,154031|410010|400052,Infrastructure - Medical,8893121493160475267,Infrastructure - Public|Transportation & Infrastructure|Infrastructure Security - Hospitals,124010|726708|853033,Infrastructure and Disruption - Medical,200006
Infrastructure - Resources & Production,188116,0,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Infrastructure - Industrials|Transportation & Infrastructure,154036|410010,Infrastructure - Industrials,2083026482131242178,Infrastructure - Resources and Production|Transportation & Infrastructure,124012|726708,Infrastructure and Disruption - Oil and Gas,200007
Natural Disasters,188117,1,Natural Disasters,7092045622162124419,Disasters and Weather - Natural Disasters|Physical Threats - Disasters & Weather|Disasters & Weather,154033|420034|410004,Disasters and Weather - Natural Disasters,4742099776392137470,Disasters and Weather - Natural Disasters|Disasters & Weather,124013|106677,Public Safety and Unrest - Natural Disasters and Fires,200025
Fires & Collapses,188118,1,Transportation and Infrastructure,3740096349638483156,Disasters and Weather - Structure Fires and Collapses|Physical Threats - Disasters & Weather|Disasters & Weather,154032|420034|410004,Disasters and Weather - Structure Fires and Collapses,7701117223796529617,Disasters and Weather - Fires and Collapses|Disasters & Weather,124014|106677,Public Safety and Unrest - Natural Disasters and Fires,200025
Immigration Issues,188119,1,Politics & Policy - International Affairs|International Affairs,67177469537839098|402248473390474532,"Politics and International Affairs - International Affairs|Government, Policy & Political Affairs - Immigration Policy",3068782945007520850|400034,,,"Government, Policy, and Political Affairs - Immigration Policy|Service Quality & Public Perception|Government, Policy, & Political Affairs - Immigration Policy",124015|214218|853088,,
US Politics,188120,1,Politics & Policy - Politics|Politics,67177469537839099|5043005248907950115,"Politics and International Affairs - U.S. Politics|Politics|Government, Policy & Political Affairs - U.S. Politics",1149361769391542577|410007|400040,Politics - US - Other,2845353310524383964,"Government, Policy, and Political Affairs - U.S. Politics|Politics|Government, Policy, & Political Affairs - U.S. Politics|Politics & Policy",124016|201466|853092|963003,Government and Policy - US Politics,200011
International Politics,188121,1,Politics & Policy - Politics|Politics,67177469537839099|5043005248907950115,"Politics and International Affairs - International Politics|Politics|Government, Policy & Political Affairs - International Politics",144668406703009042|410007|400036,,,"Government, Policy, and Political Affairs - International Politics|Politics|Government, Policy, & Political Affairs - International Politics|Politics & Policy",124017|201466|853089|963003,Government and Policy - International Politics,200012
Public Health - Hazardous Materials,188122,1,Hazards - Hazardous Materials|Health Issues,67177469537839056|7999775135343173770,Public Health - Hazardous Materials|Infrastructure - Public Infrastructure Disruption|Transportation & Infrastructure|Hazards - Hazardous Materials,154038|154037|410010|400043,Public Health - Hazardous Materials,8435069559533041935,Public Health - Hazardous Materials |Transportation & Infrastructure|Hazards - Hazardous Materials,124018|726708|853016,Public Safety and Unrest - Health Risks,200013
Public Health - Diseases,188123,1,Health Issues,7999775135343173770,Public Health - Diseases|Public Health - Diseases,8672449468060180885|400090,Health - Disease Outbreak,4022233168060710482,Public Health - Diseases|Service Quality & Public Perception|Public Health - Diseases,124019|214218|853094,Public Safety and Unrest - Health Risks,200013
Public Health - Policy,188124,1,Health Issues,7999775135343173770,Public Health - Policy|Politics|Public Health - Policy & Technology,1285958834545956466|410007|400092,Health - Health Policy,8822959453602535499,Public Health - Policy and Technology|Politics|Public Health - Policy & Technology|Politics & Policy,124020|201466|853096|963003,,
Public Health - Humanitarian Relief,188125,1,Health Issues,7999775135343173770,Public Health - Humanitarian Relief|Public Health - Humanitarian Relief,2505357956445605662|400091,,,Public Health - Humanitarian Relief|Service Quality & Public Perception|Public Health - Humanitarian Relief,124021|214218|853095,,
Tech - Cybersecurity,188126,0,Business - Tech|Tech,67177469537839088|67177469537839048,Technology - Cybersecurity|Cybersecurity,204296875911565365|410003,Technology - Cyber Security,9110684186012733106,Cybersecurity,124022,Public Safety and Unrest - Cybersecurity,200015
Threats and Precautions,188127,0,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Precautions - General Precautions|Threats,154016|410009,,,Threats and Precautions|Threats|Threats & Precautions,124023|101669|853097,,
Aviation - Physical,188128,1,Transportation - Aviation|Transportation and Infrastructure,67177469537839067|3740096349638483156,Transportation - Aviation|Transportation & Infrastructure,154030|410010,Transportation - Aviation,4149452400800901640,Transportation - Aviation|Transportation & Infrastructure,124024|726708,Infrastructure and Disruption - Aviation,200016
Rail - Physical,188129,1,Transportation - Rail|Transportation and Infrastructure,67177469537839069|3740096349638483156,Transportation - Rail|Transportation & Infrastructure,154029|410010,Transportation - Rail,7123198166887041829,Transportation - Rail|Transportation & Infrastructure,124025|726708,Infrastructure and Disruption - Rail,200017
