ALERT_ID,CAPTION,INTERNAL_TOPICS,ESDCS,SOURCE_LINK
01780633275157-1780633275157-1,Russian Supreme Court to consider labeling Belarusian Cyber Partisans and Silent Crow hacking groups as extremist organizations: Blog.,"Cyber - Hacktivists - Threat Actors, Cyber - Legal Action - Legal and Policy",ESDC - Cyber - Legal Action,https://t.me/sovetsudey/986
124264082080523825-1780504664708-1,Yemen Cyber Group hacking group claims DDoS attack against San Interactive website: Local Source.,"Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors, Cyber - Network Disruptions - Attack Vector","ESDC - Cyber - DDoS, ESDC - Cyber - Network Disruptions, ESDc - Cyber - DDoS 3",https://t.me/yemencybergroup/39
13808282497381837091779772851829-1779772851829-1,"Smeshariki and Perun Swaroga hacking groups publish documents allegedly exfiltrated from Ukrainian Armed Forces over supply of military systems ""from NATO countries and the United States"": Blog Photo.","+ Cyber - Aerospace & Defense - Industry Threats, + Data Security, Aerospace & Defense, Cyber - Data Exposure & Breaches - Data Security, Cyber - Government Buildings - Cyber-Physical, Cyber - Hacktivists - Threat Actors, Defense Sales & Contracts, Military Affairs, Russia - Military","ESDC - Aerospace & Defense, ESDC - Cyber - Data Exposure & Breaches, ESDC - Cyber - Doxxing & Leaked Credentials, ESDC - Data Security, ESDC - Defense Contracting, ESDc - Industry Threats - Aerospace & Defense",https://t.me/c/2877280721/201
1415577601003920211952-1779813698000-1,Anonymous Sanaa hacking group claims to have gained unauthorized access to unspecified network management and ICS system of unnamed organization: Local Source.,"+ Cyber - Industrials & Manufacturing - Industry Threats, Cyber - Hacktivists - Threat Actors, Cyber - Initial Access Threats, Industrials - Conglomerates","ESDC - Industrials - Conglomerates, ESDc - Industry Threats - Industrials & Manufacturing",
2119323065-1780097189000-3,"Man charged with facilitating prostitution in connection with operating unlicensed nightclub as illegal brothel on May 28 in Bopiranga area of Itanhaem, Brazil: Local News.",Crime - Narcotics,,https://tinyurl.com/23t96fg5
363684345829496697-1780918155958-1,Eight Brehon Hotel staff graduate from IHF Skillnet Management Development Programme: Corporate.,"+ Media Coverage, Consulting & Commercial Services, Tech - Networking Equipment",ESDC - Consulting & Commercial Services,https://www.hotelandrestauranttimes.ie/2026/06/08/the-brehon-hotel-spa-celebrates-graduates-of-ihf-skillnet-management-development-programme/
3826698528454306563253-1780061116397-1,"Cybercrime networks known as ""The Com"" fuel real-world violence, exploitation, and digital chaos through interconnected hacking groups and extremist ideologies: Blog.","+ Media Coverage, + Misinformation, Conspiracy Theories & Extremism, Consulting & Commercial Services, Retail - Internet E-Commerce, Tech - Software & Services","ESDC - Consulting & Commercial Services, ESDC - Misinformation, Conspiracy Theories & Extremism, ESDC - Tech - Software & Services",https://undercodenews.com/inside-the-com-how-cybercrime-networks-are-fueling-real-world-violence-exploitation-and-digital-chaos/
3850181030861674161780490590876-1780490590876-1,"Hacking groups, including DieNet, SDF, and LockNet claim complete server takeover of Dutch rural youth community website pjghaarlemmermeer.nl: Local Source Photo.","Cyber - Data Exposure & Breaches - Data Security, Cyber - Hacktivists - Threat Actors, Cyber - Network Disruptions - Attack Vector","ESDC - Cyber - Data Exposure & Breaches, ESDC - Cyber - Doxxing & Leaked Credentials, ESDC - Cyber - Network Disruptions",https://t.me/dienet3/778
40286289921001601423054-1779900315000-1,Cyber threat actor IT Army of Ukraine mentions GitHub in post on Telegram channel: Local Source.,"+ Cyber - Technology - Industry Threats, Cyber - Hacktivists - Threat Actors, Tech - Software & Services","ESDC - Tech - Software & Services, ESDc - Industry Threats - Technology",https://t.me/itarmyofukraine2022
40328232961001601423054-1780146264000-1,"Cyber threat actor IT Army of Ukraine mentions GitHub, Inc. in post on Telegram channel: Local Source.","+ Cyber - Technology - Industry Threats, Cyber - Hacktivists - Threat Actors, Tech - Software & Services","ESDC - Tech - Software & Services, ESDc - Industry Threats - Technology",https://t.me/itarmyofukraine2022
40338718721001601423054-1780329737000-1,Cyber threat actor IT Army of Ukraine mentions GitHub in post on Telegram channel: Local Source.,"+ Cyber - Technology - Industry Threats, Cyber - Hacktivists - Threat Actors, Tech - Software & Services","ESDC - Tech - Software & Services, ESDc - Industry Threats - Technology",https://t.me/itarmyofukraine2022
40422604801001601423054-1781278392000-1,"Cyber threat actor IT Army of Ukraine mentions Meta Platforms, Inc, Facebook, and Cloudflare, Inc. in post on Telegram channel: Local Source.","+ Cyber - Technology - Industry Threats, Cyber - Hacktivists - Threat Actors, Tech - Social Media, Tech - Software & Services","ESDC - Tech - Social Media, ESDC - Tech - Software & Services, ESDc - Industry Threats - Technology",https://t.me/itarmyofukraine2022
40443576321001601423054-1781539499000-1,Cyber threat actor IT Army of Ukraine mentions GitHub in post on Telegram channel: Local Source.,"+ Cyber - Technology - Industry Threats, Cyber - Hacktivists - Threat Actors, Tech - Software & Services","ESDC - Tech - Software & Services, ESDc - Industry Threats - Technology",https://t.me/itarmyofukraine2022
