,Coordinates,   Total Alerts
1,"25.45987,56.89669",22
2,"25.46108,57.04039",18
3,"25.45988,56.89668",12
4,"24.99064,56.85742",12
5,"25.45987,56.89668",11
6,"25.46108,57.0404",11
7,"25.45987,56.8967",8
8,"25.30447,56.71838",7
9,"25.46109,57.04039",6
10,"25.30446,56.71839",6
11,"25.45988,56.89669",6
12,"25.30446,56.71838",6
13,"25.30445,56.71838",6
14,"25.45989,56.89669",5
15,"25.30446,56.71837",5
16,"25.30445,56.71837",5
17,"25.30445,56.71839",4
18,"25.45988,56.89667",4
19,"25.46107,57.04039",4
20,"25.30445,56.71836",4
21,"25.46108,57.04041",3
22,"26.13675,55.6814",3
23,"25.45988,56.8967",3
24,"25.46107,57.0404",3
25,"25.45986,56.89669",3
26,"25.46106,57.04041",3
27,"26.29486,55.8688",3
28,"25.45985,56.89668",3
29,"24.99064,56.85744",2
30,"24.99065,56.85741",2
31,"26.15713,55.79823",2
32,"25.30444,56.7184",2
33,"24.99062,56.85743",2
34,"25.45995,56.89679",2
35,"25.4611,57.04039",2
36,"25.45992,56.89671",2
37,"25.45989,56.89671",2
38,"25.45987,56.89672",2
39,"25.30447,56.71839",2
40,"24.9906,56.85737",2
41,"25.46109,57.04041",2
42,"25.45987,56.89667",2
43,"25.32461,56.77628",2
44,"25.46016,56.89661",2
45,"25.30443,56.71841",2
46,"25.45987,56.89671",2
47,"25.30437,56.71843",2
48,"25.46105,57.04041",2
49,"25.30447,56.71843",2
50,"24.99063,56.85742",2
51,"26.13675,55.68141",2
52,"27.00869,56.70727",2
53,"24.99062,56.85741",2
54,"25.25704,56.87998",2
55,"25.45986,56.89668",2
56,"24.99067,56.85753",2
57,"25.98604,56.73594",2
58,"24.99064,56.85743",2
59,"25.45988,56.89666",2
60,"25.46108,57.04043",2
61,"25.45833,56.89667",2
62,"25.30444,56.71837",2
63,"25.30444,56.71838",2
64,"25.45981,56.89673",2
65,"25.30445,56.7184",2
66,"25.3705,56.87577",2
67,"24.69784,56.85148",2
68,"25.24923,57.08685",2
69,"25.4599,56.89671",2
70,"25.30449,56.71839",2
71,"25.3045,56.71836",2
72,"25.45988,56.89672",2
73,"26.62115,57.04174",2
74,"25.03618,56.74233",1
75,"24.89344,57.02869",1
76,"25.31892,57.07089",1
77,"24.76071,56.95636",1
78,"24.98011,56.87179",1
79,"25.75236,56.99497",1
80,"25.15576,57.4188",1
81,"24.84592,56.97859",1
82,"24.82238,57.2097",1
83,"26.29486,55.86884",1
84,"25.25345,56.7712",1
85,"25.01046,56.83866",1
86,"25.05506,56.97654",1
87,"26.12509,55.68912",1
88,"25.35717,56.8472",1
89,"25.06985,56.68002",1
90,"24.74372,56.90087",1
91,"25.46104,57.0405",1
92,"25.63097,56.89013",1
93,"24.80341,56.83433",1
94,"24.85092,56.78322",1
95,"24.85193,56.89682",1
96,"25.30441,56.71814",1
97,"25.30125,56.94569",1
98,"25.4612,57.0403",1
99,"24.97042,56.96357",1
100,"25.90724,56.93392",1
101,"24.89872,57.16355",1
102,"25.46178,56.89649",1
103,"25.31152,56.91338",1
104,"25.37075,56.8757",1
105,"26.82277,56.68287",1
106,"24.93272,56.76736",1
107,"25.30442,56.71853",1
108,"25.30265,56.71323",1
109,"25.4604,56.89705",1
110,"25.25704,56.88054",1
111,"25.45999,56.89688",1
112,"26.13659,55.68282",1
113,"25.13323,57.17041",1
114,"25.46108,57.04044",1
115,"25.06309,56.84709",1
116,"26.30356,55.86103",1
117,"24.94983,56.90478",1
118,"25.52373,56.77682",1
119,"24.79303,56.9832",1
120,"26.54407,57.05017",1
121,"24.77601,56.9811",1
122,"25.37051,56.87582",1
123,"24.87996,56.77827",1
124,"25.02577,56.88121",1
125,"25.45986,56.89663",1
126,"25.45282,56.7446",1
127,"25.20183,56.79443",1
128,"25.18313,57.0514",1
129,"25.25576,56.77079",1
130,"25.45282,56.74474",1
131,"25.86731,56.97203",1
132,"25.21169,56.74836",1
133,"25.45978,56.89682",1
134,"25.71221,56.96533",1
135,"25.2499,56.88261",1
136,"25.70299,56.92482",1
137,"24.98413,57.30413",1
138,"25.30218,56.82968",1
139,"26.1493,55.80032",1
140,"25.22399,56.69903",1
141,"25.30402,56.71646",1
142,"26.12953,55.80339",1
143,"25.21374,57.34873",1
144,"26.527,57.06036",1
145,"26.81465,56.14092",1
146,"24.6959,57.07512",1
147,"26.08363,55.54314",1
148,"25.47344,56.94627",1
149,"25.30285,56.71953",1
150,"24.99058,56.85744",1
151,"25.23418,56.85575",1
152,"24.99058,56.92741",1
153,"25.17173,57.22923",1
154,"24.97294,57.04221",1
155,"24.99278,56.85672",1
156,"24.99067,56.85737",1
157,"25.46787,56.89631",1
158,"25.45985,56.89679",1
159,"26.59259,56.94795",1
160,"25.306,56.72067",1
161,"25.83757,55.42206",1
162,"26.08506,55.54258",1
163,"25.06623,57.01435",1
164,"24.8745,56.76192",1
165,"25.44427,56.72368",1
166,"25.05352,56.75173",1
167,"25.3053,56.71864",1
168,"24.93329,56.82487",1
169,"24.81391,56.81665",1
170,"25.24352,56.77833",1
171,"25.12346,57.03866",1
172,"25.19016,57.30772",1
173,"25.29224,56.85573",1
174,"25.45425,56.89062",1
175,"25.47007,56.89446",1
176,"24.94952,56.97858",1
177,"25.7598,57.01326",1
178,"25.34734,57.27579",1
179,"25.92269,55.33422",1
180,"25.9335,55.51548",1
181,"25.46068,56.89552",1
182,"25.49461,57.55065",1
183,"26.29427,55.86706",1
184,"24.99389,56.85092",1
185,"24.8798,57.08253",1
186,"26.93093,56.28165",1
187,"24.95171,56.84907",1
188,"25.51372,56.87348",1
189,"24.90659,57.25778",1
190,"25.14729,56.78947",1
191,"24.90621,56.83539",1
192,"25.07382,56.95307",1
193,"25.21003,56.76127",1
194,"24.95292,56.76171",1
195,"25.00203,57.28458",1
196,"25.46317,57.04467",1
197,"25.51259,57.05532",1
198,"24.94172,56.80086",1
199,"25.35472,56.81729",1
200,"25.25219,56.77082",1
201,"25.0656,56.88878",1
202,"24.73821,56.79571",1
203,"25.18395,56.81985",1
204,"25.05772,56.7911",1
205,"24.88365,56.86482",1
206,"25.11422,56.95159",1
207,"25.29426,57.60646",1
208,"24.87991,57.07582",1
209,"25.02631,56.74527",1
210,"24.99064,56.85741",1
211,"25.04348,56.9892",1
212,"24.77479,56.81939",1
213,"26.80213,56.69879",1
