row,headline,fp_labels,gt_vehicles,gt_incidents,url
204,Police vehicle detected responding to pulled-over vehicle,incident:pulled_over,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/12/bxiCGEY4nILdFlwxasZXI0N8FYI0.jpg?Expires=1812857270&Signature=ZF6AsF~zdygQgyi7WCCAeClC2ObYiZ5cb~Sw63nZ3JR~~JrEamtijcu63D3zbc7D8fODzTDCpGm6zA7eR6U9dE~0P9VSQrBmKN9nvv5d7BaC7YwjQuJIVosH-n1sDoWClXJqeGTQyzrA2yo2IBjTuA4z29ka6g9Ni0q7jaRUKfTpAxJebGz3-lluwVQuqKKXaBhI2DmcW8W8bGCgFjf35KMQPDcStXjSrNpYJi38Cuu2ty6ixyj~7iJ-8r9IIgeU-B11O~Pp2P~aNoxMJmiTwvOylBI~-qWdUtCDC5codtzhcIHO31WAYdRLwlGI-nindqmINIg21bJaRCVOL71iug__&Key-Pair-Id=K1LXZK7POOSHBA
206,Fire truck and police vehicle detected responding to crash,vehicle:police,fire,crash; blocked_road,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/23/o0wfr8wF04TFbNU94HnogMbmHh00.jpg?Expires=1811144846&Signature=ajaOyubp5lXMaIYLuI40TW32WHmk5-coSn~Ubf1eGogzt86jsWniFIFNN9ix7tyssiCpanI90qWZp8~7-euX1NRruqsaZqBzU3gyGNyRgbPg88KodA1f-mqiKDz8wJQHDE7kP-nooYtolOHUCzPclb8yDtQigkVuv3R2hFzxtK4oSlR00jxlo3AHw4wTAKObL2aIldmK4ABeKmT~D2U3Mk9EfFiWU1p6EZPRq44NZrYloOXTT51UWhw7prvUCIMBeFdteidzAVvVKS8KQ032o6SJIqhTiYCL4FxNTx01CHgBeA162oiNcHnURNyb0LXEkQSeFjKnYhifGp8B3RySUw__&Key-Pair-Id=K1LXZK7POOSHBA
207,No emergency vehicles visible,vehicle:none,police,blocked_road; construction,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/26/h8sMXQENlLlSU0uPh0C2Bg2bNO00.jpg?Expires=1811443094&Signature=nNhyHodE6flWrepBn66zT784cdAWw9L18mdKEq5NFb0VUBTALwJokys53rFro-qd0L2yOUIt8usoVNCaZz9TlVmYwIJw3ShZcb4HbdSYrqA5zdRgDTWUMKVbHyxiLx758GwkrYHJpL0lcsHcxushnSEMppWrvmq~Spps4Mz8wurKnoOyWCGT6YfLQ~qde8-Cbp0-~CTRonpH1WuE7eE~aKsOGvQNWxHL-tvniVg8X~vTqk6lyVRca1jijFH8iA3VlbySsNZn6LTIcuh1Znem2RMTyTFMlhz4Zirs~PXNKDuJM42aJtWpetayIONkz~zxes5DmTeKV5~7cCyTMTddmg__&Key-Pair-Id=K1LXZK7POOSHBA
210,Police vehicle detected responding to pulled-over vehicle,vehicle:police; incident:pulled_over,(none),(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/12/kA7FhD27EXW4pHKA53gWDVr9fIg0.jpg?Expires=1812883704&Signature=muXwIj1OJCtHNmuny~PTixOX8Nu-jTzTUICt20UZ3gV5GxWwR9SA6Fycnb3TFBQh8B60AVMtBrUbXeWgvSvu73-~hRWMeJSFZ4ZCL24GJOgGFw0DU1eLTVczP6tK529JoLIQB8G65Jd3SGCG8xaAKEc1GOT6o9ZvNYbPckW9yFoQFFsdySs5EfaNcHcDcMUF1Us1O-wdKpxpplUmio1OM5cDs9qEqXMO~6lP2Y-Ls5NX6ef0YQVGX1Sf30h6Z6WsBx7HaLIcdaCbotPUTdAbE4XRL~04cna1EnrTl9R7lyQkBHZo3Se~k3kxLOmNSgaH1BtplgCUVMxxSgDBoOWNdQ__&Key-Pair-Id=K1LXZK7POOSHBA
211,"Police vehicles, Fire truck, and Ambulance detected responding to crash",incident:crash,police; fire; ambulance,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/12/7RHNMzpUyjpVHfqyNR0I1UUPLXI0.jpg?Expires=1812867746&Signature=KwVCy8A8Xl5TOS-t1rc0G0Y8-xVG8grgqonrP7CQ1bi8W4itSUuW9WGX9SHebbhncD8XxEhKnzJmT9OdF696d3QdH-~~h2j73WIPb3WayXT6-Qm2GXDUtbJj0ZxEk-LuQMJTJYNBIVo8h1KgiWc-hrwfITabHrYHXfIqREgn5SQkH4oHeW0I5CLOz4XNGtTWdattZb5ZScRBZYeiby7GBz5Utgt4Pka6Zek4FTxBcxC7LDmzNAAE-80due62t1t6G3NhkPRvAijGYa~54AgWlcvJQ4hDRWZLj6F7b46mazGEG5l6-XxHUjMxveKu8sm1ZZAeuyjZtMoNzZCKz9kC1g__&Key-Pair-Id=K1LXZK7POOSHBA
213,Police vehicle detected responding to pulled-over vehicle,incident:pulled_over,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/26/XCbxehtBGzfn4f3KNVZwVNkkZr80.jpg?Expires=1811403214&Signature=iO70JaLl2JVUfa8OhMDns6~WcCsTQdWJLunHpJDTY7c5vYKWcWUDLHWodxrzEVWe1SaEF5ltqNhLrjYnj0BoWxCYQ08Bd76YJXJ5p0LmEddlK-EOOoGxtAw54nlfc7YxFcspJM4La-6YrZ5KGx6WxgaYJdzlGgLnzS9Ud9A~jeBTEd2Ln88MvT3sPRE7VbxWspC76rwtu8LN4~TfMrYxkhYYRKJlVHfxX5RUrG5Y6LmWC2Kxt-tIbDb-HKX0RniUrG0t53ijtU2AbQTtCRvEBP7VW2XD8ckjSV1jK7mqcCbzaxVujmEwLgjDBmAH4wChqb1IzAwrGHOMmxV-ZKPWiA__&Key-Pair-Id=K1LXZK7POOSHBA
214,No emergency vehicles visible,vehicle:none,(none),(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/11/Gtt0nQcpBwDBRDFHT2ytYWB40uA0.jpg?Expires=1812828504&Signature=4cVtNFw1y7jemtig0-TxIuQ4fsCNgdOky8C1PLI5A7nZOZxGY5q7lglHYu8ledILolceoMhbDlaj40g6VBz3cEY3ZY1ydFWVN2la3xneFPOhTG~SCBhbnJ3NEMf1EYvwzBEA7bqQ0pGHmgQrtk~GI1Rdx96rrxL642G1-bfuCd3QxXQfB7rhGoNT7xfGNdhW3~LnAodXx-adOCQmApn3cLlOefCugoxlJ9VLSaXojcQWsCCtJ7eZeCHfpf6poo8LZL5I9fXDlnAjYJir3ihnvKJuDagoG~4hGJqQKU9DWso953Kz-arGM9ah0sDuTe1XmaHVouILgxzd8HoUiiTukg__&Key-Pair-Id=K1LXZK7POOSHBA
215,No emergency vehicles visible,vehicle:none,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/25/qqcuY16fSdTkLdIBRgtIvkVc9Ak0.jpg?Expires=1811331165&Signature=0JBTyI8mo7BBB-3wgT00MTsMaNUCokaJfEvroqwgAeTXnct7EnBqOBlTOW7NCrREHEQkalRYfX-YxFmIlpQUov5Tc~k8k8DchDnf7075coQl44pNtKVmPpLGoubnqI4XS7q8zTU3zaHXSeOkQy7zGnWRKIvACYmtlwfZIy75VbkU5S3fk1MDFvX3jXrpmeYD9ASAsZ5nITKYDLFzZtXEPZ83tApxyUZ2DvRbUbBYvUNkQ2xIsqphaPCiIPB5l3BWdBM1gxHa-69KGKgdZZ6Ly0~X-aaQSlMMM3ZcOUolweQpusyF-ULZ9T1lBtt7DFcATZeMDndcR6v7Q-xugHVnLg__&Key-Pair-Id=K1LXZK7POOSHBA
216,No emergency vehicles visible,vehicle:none,(none),(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/12/8DH6rURlG5zcuLvsVLmme0QfDN40.jpg?Expires=1812861093&Signature=eq9OVEx7gf1OHF-IFep1thg8-xIX5CTlHXJtoa5-5ow0J59l8WRRXvu4pVZ8UpKSV4afAgTuN1tHmVSNzYa12qUK46-xsySO8SGrzSxNOvuUskmRX-CuoXlkc7dyWK2S9HINvOypdC7UvGquULllwHqOQ9KbLKGdhk-QWD2azUmBRZzEOzvAF3QVhpX0Ujrow04D9AM23ZrmuIeemxMYquv9I1wZhQhyceIQKMfE9CGiTyPF2tbApYlqTr62bOL~i8fPqYEEViUoK7aZW~I2no0ag68OKDWo3xzRkOkK4pOTzIqB4dU2xc8gBwRrAKXq3yeY9Z4q7yLTfONvyFpOXg__&Key-Pair-Id=K1LXZK7POOSHBA
222,Police vehicle detected responding to pulled-over vehicle,incident:pulled_over,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/11/idaC6a6aLKH0XMNAvu0jpgvR7Ak0.jpg?Expires=1812817548&Signature=eDkkiAH3DP7VjTqBFEAYIliVs2tEww3OSxMzIOpcoP4ZsWgbSfMNuq39I03fkeMjmONAqDcM2Urnfl1bku6OT2Z217MBy9WVJA36-W-ZaSJAY9gQSEawc-wimKNzN0OmF-f3I3kz~NnhsjmQSH840~omhFBo173a1fX5WIGUP2LSlK6rbIov7-R1LpVPV2tTHRC3jgCe6DRPkcwfPSd-y-3u-I-Bx6K6OjuA9dDXljGYomRu3MKNF4xWTVPndAnW7XZl1Ygrm-GQnWz-F4hHplpiNnIzKvBgX08CJRwlDteQkTrzPgWHOsGEdV4A5m2keb32r15LCLKqda6xKO8p1w__&Key-Pair-Id=K1LXZK7POOSHBA
