row,image_ref,original_text,model,model_used,police,fire_truck,ambulance,no_emergency_vehicles,hard_to_tell,reasoning,latency_ms,error
1,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/22/5N2z0IarpM0qhPoukqNicpwBKZA0.jpg?Expires=1811077099&Signature=zZ4V5mF6p1NBrqwkatEe0hY~XkLUPWuZtgSUxiOrOcA8gJcLV3PpSp8ta9Jk2X59PXpNWi9w0HRqExc2bVhUhucFhgWSPb0K43ggGr8N~kl2HiuWnWSH46AKCGgbeIj4XMoQ8dl2AZieYgMW8YQ3gcNy2IGfQt5rs4ZIifAyh6W-wEllQ641oOSe1SGZSB9nyEv6UlH0gnhPFdKUFEZ4i-L0EF2FnH7NxeuzkeI3RPMJR1uv6waoR466HzlNgfprfvi6Tu5a93Z1OtYQD81eh9M~RFSa2JOF-E8TbG0sGyyP5~KrAJndelixJu0eYHUILpJI1phj50uoGvOfGN4bEw__&Key-Pair-Id=K1LXZK7POOSHBA,"Image detected at Robert F Kennedy Bridge near intersection of Hoyt Avenue south and 29th Street in Queens, NY",claude-sonnet-4-6,claude-sonnet-4-6 (direct vision),True,False,False,False,False,"Dark SUV with rooftop light bar on highway near RFK Bridge, consistent with NYPD vehicle.",,
2,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/23/UXI7CpuNNLVKG0vfsfW3yZLnUZQ0.jpg?Expires=1811146864&Signature=EUHEO4S8yYZL2YhR4lhvwstBEQzeh85cCuzbH1onlur5ZGrxdR6~acsAdZR6vWKMPLteRUzlSEB1F1aIcp2CD1-LStu6PUzVXkgfFF3rPd~Xz~ymPBTiX8pKK6h2wbsMpIMH1wkjS9Tja7W6V6dsWvoSU2ePdznNQYTwq21mzsLn3Y-43wqNytSXUDV-hEiJ9VLJzVEdpeKw6QRWXJXWT2d3ShpaSqV9iOHUQEXM2X0mHYGxbBeuc6B7yqnAuHgXXFa76YBm2CgK3WFBYUDbV1eg670T9p57QxMGdTvlPuBBmJVCMJFU9tsDRhaBZS1LP~FJ-5LAhZMU6dS7rpSLKg__&Key-Pair-Id=K1LXZK7POOSHBA,"Image detected at Sierra Vista, 3130 block of East Sahara Avenue, Las Vegas, NV",claude-sonnet-4-6,claude-sonnet-4-6 (direct vision),True,False,False,False,False,"""POLICE"" text and blue flashing lights clearly visible on SUV at night in Las Vegas parking lot.",,
3,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/27/LTx10eo02zjo5iL3JG0M3GDzMWc0.jpg?Expires=1811487101&Signature=PiuYBvZlNJf1agNDJ2Msw6U8ps7LBrEIevovlNBOA0ReYlNRqS3wpS7UgSbFO7Dd6d009ka984I148zuIRkv6tIOWV-qzfrT4gs-~0I48hxlIq1EVWWBLdh8H3DuUJYUsZDDc1D0YtkTQN4Nefq31NSsis0wUrj5c~zeHnNnsZ2qFs-y~kTblrz6Jy-8QD0pGNxQAzvkWIt-2EDpn6bGlV3OW4pdJoYXNN7cyijS5-m1cA2kGlKpRdNt4OsaJGUiLsBtkHjmIbQgkQOaZe5t0phD8FwmplQaIy-ZNkg4SDiGZQkYj9jBtEJoJ4~QPEtBnZlUVTI9Sjvj4we8s~IBbQ__&Key-Pair-Id=K1LXZK7POOSHBA,"Image detected at Times Square, Manhattan, NY",claude-sonnet-4-6,claude-sonnet-4-6 (direct vision),True,False,False,False,False,"White van with blue/red flashing lights at Times Square intersection, consistent with NYPD van.",,
4,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/28/gElSCsZf3AaR3VU0R1Va3hVd00Q0.jpg?Expires=1811590587&Signature=uKxSf~HbPyXpmHeEVPvgJf5dztwmG-~1kAJe4~h0nUvjYeG6G22Kr4BHzw-yLlvfHpXy2Y1wIybpqZLdTTcxM3NyMVzd74FUdmutWWpYmvwsGMbo8fClC5WcwZ93LXxrj9JFEZJfqNdp4LGjB-GsAYchC7e7oH0PGkS6qauvZ~GCUtjClPRcPMJjOqkXjBO89HkUp5aR6yFlZ390VjxLqb3hSSUEtQ4ctvRDVXtlsEoj1C~UT~WGD32Di09OPhZrU35z0mIye5V4HBN8UP2FRiiP2zQp9TYVwPs2OdLVWWpXYXHKl1G-kBevyDE~Ew3Dy3yr6TYIr0RbbRkTk0P2aA__&Key-Pair-Id=K1LXZK7POOSHBA,"Image detected at intersection of I-24 and Silliman Evans Bridge west in East Nashville in Nashville, TN",claude-sonnet-4-6,claude-sonnet-4-6 (direct vision),True,False,False,False,False,"Two SUVs with bright blue light bars clearly flashing on I-24, consistent with Tennessee State Police.",,
5,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/23/o0wfr8wF04TFbNU94HnogMbmHh00.jpg?Expires=1811144846&Signature=ajaOyubp5lXMaIYLuI40TW32WHmk5-coSn~Ubf1eGogzt86jsWniFIFNN9ix7tyssiCpanI90qWZp8~7-euX1NRruqsaZqBzU3gyGNyRgbPg88KodA1f-mqiKDz8wJQHDE7kP-nooYtolOHUCzPclb8yDtQigkVuv3R2hFzxtK4oSlR00jxlo3AHw4wTAKObL2aIldmK4ABeKmT~D2U3Mk9EfFiWU1p6EZPRq44NZrYloOXTT51UWhw7prvUCIMBeFdteidzAVvVKS8KQ032o6SJIqhTiYCL4FxNTx01CHgBeA162oiNcHnURNyb0LXEkQSeFjKnYhifGp8B3RySUw__&Key-Pair-Id=K1LXZK7POOSHBA,"Image detected at intersection of 120th Street and BC Parkway in Surrey, BC, Canada",claude-sonnet-4-6,claude-sonnet-4-6 (direct vision),True,True,False,False,False,Red fire truck with full lights and firefighters in yellow gear visible; white police car also on scene.,,
6,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/26/h8sMXQENlLlSU0uPh0C2Bg2bNO00.jpg?Expires=1811443094&Signature=nNhyHodE6flWrepBn66zT784cdAWw9L18mdKEq5NFb0VUBTALwJokys53rFro-qd0L2yOUIt8usoVNCaZz9TlVmYwIJw3ShZcb4HbdSYrqA5zdRgDTWUMKVbHyxiLx758GwkrYHJpL0lcsHcxushnSEMppWrvmq~Spps4Mz8wurKnoOyWCGT6YfLQ~qde8-Cbp0-~CTRonpH1WuE7eE~aKsOGvQNWxHL-tvniVg8X~vTqk6lyVRca1jijFH8iA3VlbySsNZn6LTIcuh1Znem2RMTyTFMlhz4Zirs~PXNKDuJM42aJtWpetayIONkz~zxes5DmTeKV5~7cCyTMTddmg__&Key-Pair-Id=K1LXZK7POOSHBA,"Image detected at intersection of 16th Street Northwest and U Street in Washington, DC",claude-sonnet-4-6,claude-sonnet-4-6 (direct vision),False,False,False,False,True,Daytime: white SUV at intersection with construction cones — no police markings or lights visible to confirm.,,
7,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/28/uXz1Dq5DFoAkoSmVksRTSiRNlk00.jpg?Expires=1811579181&Signature=GWLrdZ6kypc5BW0Em7trrYEqsiLHpAzpmjAsIkRK-gABvQryzmOOVOEb~LajiuCe5y6dTCCvWvtC3avVfPYopUabJhaO18zPqXbQh5fb6dFaylwSxF5Ch-m~qwNypIuCP4wVPtSJ3UVxIMXBjx2gyy~2cH7NZAND60Rii0RxSTqGDg42hNWWZmIlMDmd~t0fP3hJgAwyJsLm8dBmk28nTYxz~UXrIdjOLmQiyLfIue13HoZY7Tbu4-2AFd4GMh0zneGKd-zDTP8EYE-N9AQ~8~uH55Rl6GgZBZEPczx6R-xVD-DsG0JaiqSnNAi8qxzfHYNk7lDBcOFLmK2bGOif2g__&Key-Pair-Id=K1LXZK7POOSHBA,"Image detected at intersection of 2nd Avenue and Stewart Street in Seattle, WA",claude-sonnet-4-6,claude-sonnet-4-6 (direct vision),True,False,False,False,False,"""SEATTLE POLICE"" text clearly legible on car with active blue lights; two officers standing in roadway.",,
8,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/27/A8Ao0ukBWJKg2qBPNemqxIZmdk40.jpg?Expires=1811491402&Signature=YHUHo~FaucINz1EGSLU7W8XNGMr8wIKihrRF14NfyyiQvaqgNEeHhAZihEvSvk5He~qdJNsSyu~11daR~GF7kTJ2~CAQbCJdMOXZ4HGeXe2AkQLK~vccxQ4lmQi9z6ThoRDfQJHk2nyY9RFeoWDUNB9aShyt18AykC-qLdnhtM5XcZtoFZh4HmE6Vj1YWjcQPm~wRSJgiJYS3bi5RcaKvd7Q6nr-qlVjMjPG0y6IW0qlJ9Y~lC2nAFZak2YjxcwJ99~XozUk3a08RTWNmD7TZ4mbmbsMbvsq1D1n7jnNJdvAqiYcn8ZEk90Kb-dH4ReQ3JtBASRhRzogDxWGCFVF7Q__&Key-Pair-Id=K1LXZK7POOSHBA,"Image detected at intersection of 2nd Street and Independence Road in Washington, DC",claude-sonnet-4-6,claude-sonnet-4-6 (direct vision),True,False,False,False,False,Blue/red emergency lights visible at base of frame in dark DC street; light pattern consistent with police.,,
9,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/25/08k2gvz8PA5Im0HCwmJA86fbWVY0.jpg?Expires=1811291278&Signature=Zf2l6BZQe2kFY6ofaREdcvHBry6Gak~gRovJ3arj-Se7HCXw1SnsHh8hH7TjwXnhfoyfsphHfQgsxpWdfmgxDftdHRcN1jXNihUYiYcElqW5HUMZpBR341u9PykhkTuc0nIMWwz67LN9YSwJH1uqiRc5T0FMAW8mypiHPj4nmlPKgG964NaASvwAA09lM92OeY62OOy9MiQCmii86NGlJyrAM1yvexM4Bpg7lhZfQEUSxeUTOxALp-T~c6ximl0jlKsiF7YCWS3dxduwLyECsLak-TgKFxygNaOqmps90C6urUvyj6iHSgeEKzOHASNZtnOHcHjJKWVmt3lEBgSD6w__&Key-Pair-Id=K1LXZK7POOSHBA,"Image detected at intersection of 7th Avenue and West 46th Street in New York, NY",claude-sonnet-4-6,claude-sonnet-4-6 (direct vision),True,False,False,False,False,Two NYPD vehicles with active rooftop lights and NYPD markings clearly visible; large crowd present.,,
10,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/25/ReL0E5WCQfVUwqIU0pqB7LB3lsg0.jpg?Expires=1811312890&Signature=fHgi5AV4hGvJzqxYFgzR1i47zRR7PKJ1eTjhdebq32i11iAeQy~Jc2dwVntdKELDXjGx4~QQ5HGOsq6uIUha4I4PiEeAL0G2-MCnnak5NYxk3F-0K7lq8slQUFKeSQKxwjJxxcP2-AxltuUOJwt1PWc2r-ld0SvHs0oWpw6oNQhmwNjbljLkUYR~0xHPlike25kzzSZUdTU~m5oH7eSuYsUxt2Hve-xSsMw-hybcZ3vFEU9DtSKlrELoXvLmC7DWiTuN4ka~Z1maOFehB1CPILwB7BWtsKohemVZFSazLqATLTg3Oix8OvX9MGm~dBjkP7-ttu3IfZfTnhlghBnC3A__&Key-Pair-Id=K1LXZK7POOSHBA,"Image detected at intersection of 7th Avenue and West 46th Street in New York, NY",claude-sonnet-4-6,claude-sonnet-4-6 (direct vision),False,False,True,False,True,Unusual downward pole-camera angle; white box vehicle consistent with ambulance visible upper-left. Hard to fully confirm from this angle.,,
