row,image_ref,original_text,model,model_used,police,fire_truck,ambulance,no_emergency_vehicles,hard_to_tell,reasoning,latency_ms,error
1,https://alertmedia.dataminr.com/Prod/vz/image/2023/6/17/QxQ5g62LJxQt1MdvXc96plRfLtg0.jpg?Expires=1718609204&Signature=UUlkCy9JKTUwMdfbHUt1boyT02tCAF3lULGivspofaeHHV2s8kg~9zh~NWk1Pw3P7FU17FefurPflFy055zHXAEseSXdljkkqgSW7V~O94AJcMH5ldu3ggk5Qp5TQTYeNjA2uENRB0aGjsyiGPM7jEdBZcAtdzE2Ru29qF7elOgDZnkwUek98aBd~b3Rfa9n3NHAJh3ve-4TQpsD-45ZKpNDjaU2ir3Dk~xZiPqhkf4Z6cKy19o3fX8UbYsyZebvowoImmhQ5BI9KVNvyhPUVo~3G1KdezB9sIo0S~f5AIdVpjSzyGnKedk8JOK5ah8vDRcCJJFJO~TcRlcbnczl4Q__&Key-Pair-Id=K1LXZK7POOSHBA,"Ambulance detected responding to incident at 2 Broadway, Bowling Green Park, New York, NY",gpt-4o,,,,,,,,,URL expired — re-run with fresh presigned URLs
1,https://alertmedia.dataminr.com/Prod/vz/image/2023/6/17/QxQ5g62LJxQt1MdvXc96plRfLtg0.jpg?Expires=1718609204&Signature=UUlkCy9JKTUwMdfbHUt1boyT02tCAF3lULGivspofaeHHV2s8kg~9zh~NWk1Pw3P7FU17FefurPflFy055zHXAEseSXdljkkqgSW7V~O94AJcMH5ldu3ggk5Qp5TQTYeNjA2uENRB0aGjsyiGPM7jEdBZcAtdzE2Ru29qF7elOgDZnkwUek98aBd~b3Rfa9n3NHAJh3ve-4TQpsD-45ZKpNDjaU2ir3Dk~xZiPqhkf4Z6cKy19o3fX8UbYsyZebvowoImmhQ5BI9KVNvyhPUVo~3G1KdezB9sIo0S~f5AIdVpjSzyGnKedk8JOK5ah8vDRcCJJFJO~TcRlcbnczl4Q__&Key-Pair-Id=K1LXZK7POOSHBA,"Ambulance detected responding to incident at 2 Broadway, Bowling Green Park, New York, NY",claude-3-5-sonnet-20241022,,,,,,,,,URL expired — re-run with fresh presigned URLs
1,https://alertmedia.dataminr.com/Prod/vz/image/2023/6/17/QxQ5g62LJxQt1MdvXc96plRfLtg0.jpg?Expires=1718609204&Signature=UUlkCy9JKTUwMdfbHUt1boyT02tCAF3lULGivspofaeHHV2s8kg~9zh~NWk1Pw3P7FU17FefurPflFy055zHXAEseSXdljkkqgSW7V~O94AJcMH5ldu3ggk5Qp5TQTYeNjA2uENRB0aGjsyiGPM7jEdBZcAtdzE2Ru29qF7elOgDZnkwUek98aBd~b3Rfa9n3NHAJh3ve-4TQpsD-45ZKpNDjaU2ir3Dk~xZiPqhkf4Z6cKy19o3fX8UbYsyZebvowoImmhQ5BI9KVNvyhPUVo~3G1KdezB9sIo0S~f5AIdVpjSzyGnKedk8JOK5ah8vDRcCJJFJO~TcRlcbnczl4Q__&Key-Pair-Id=K1LXZK7POOSHBA,"Ambulance detected responding to incident at 2 Broadway, Bowling Green Park, New York, NY",gemini/gemini-1.5-pro,,,,,,,,,URL expired — re-run with fresh presigned URLs
2,https://alertmedia.dataminr.com/Prod/vz/image/2023/7/24/VWQU5AghaVFM13X9Lq0C0LZR2iU0.jpg?Expires=1721852291&Signature=nCoZy-bgSRfo~KxNNKRvvDrTj11kzOU9yRRN1M1Udh8qf3C~omcojh7cMRdxThLOSYOBxtuzqDJO14P5dI1-U38eEmgp2PZrrZ6joixmAFnXzvFrfXGRxHXBynlevaKz-Xv48iVCzrsWdXhs7oCC9sL267toRMxBbJdgop-2syTyVGfGPYTlBY63jg7a-b86YgHJQhNTNjAXn7d~SVCaN1~FKYgUW-x7lnNtG4UlV1pMgSnazixNrqrzJmNPeTNMj-KAAxhH1-y-rkp2y1d0YMXNbvPLJP5VYsu5l5BMA5kREUjRO9hNQmx34NV6zOl9ZIc~tLUUs4BlMN7XjiH7kA__&Key-Pair-Id=K1LXZK7POOSHBA,"Ambulance detected responding to incident at Freeway Insurance, 9800 block of Sierra Ave. Suite B 2, Fontana, CA",gpt-4o,,,,,,,,,URL expired — re-run with fresh presigned URLs
2,https://alertmedia.dataminr.com/Prod/vz/image/2023/7/24/VWQU5AghaVFM13X9Lq0C0LZR2iU0.jpg?Expires=1721852291&Signature=nCoZy-bgSRfo~KxNNKRvvDrTj11kzOU9yRRN1M1Udh8qf3C~omcojh7cMRdxThLOSYOBxtuzqDJO14P5dI1-U38eEmgp2PZrrZ6joixmAFnXzvFrfXGRxHXBynlevaKz-Xv48iVCzrsWdXhs7oCC9sL267toRMxBbJdgop-2syTyVGfGPYTlBY63jg7a-b86YgHJQhNTNjAXn7d~SVCaN1~FKYgUW-x7lnNtG4UlV1pMgSnazixNrqrzJmNPeTNMj-KAAxhH1-y-rkp2y1d0YMXNbvPLJP5VYsu5l5BMA5kREUjRO9hNQmx34NV6zOl9ZIc~tLUUs4BlMN7XjiH7kA__&Key-Pair-Id=K1LXZK7POOSHBA,"Ambulance detected responding to incident at Freeway Insurance, 9800 block of Sierra Ave. Suite B 2, Fontana, CA",claude-3-5-sonnet-20241022,,,,,,,,,URL expired — re-run with fresh presigned URLs
2,https://alertmedia.dataminr.com/Prod/vz/image/2023/7/24/VWQU5AghaVFM13X9Lq0C0LZR2iU0.jpg?Expires=1721852291&Signature=nCoZy-bgSRfo~KxNNKRvvDrTj11kzOU9yRRN1M1Udh8qf3C~omcojh7cMRdxThLOSYOBxtuzqDJO14P5dI1-U38eEmgp2PZrrZ6joixmAFnXzvFrfXGRxHXBynlevaKz-Xv48iVCzrsWdXhs7oCC9sL267toRMxBbJdgop-2syTyVGfGPYTlBY63jg7a-b86YgHJQhNTNjAXn7d~SVCaN1~FKYgUW-x7lnNtG4UlV1pMgSnazixNrqrzJmNPeTNMj-KAAxhH1-y-rkp2y1d0YMXNbvPLJP5VYsu5l5BMA5kREUjRO9hNQmx34NV6zOl9ZIc~tLUUs4BlMN7XjiH7kA__&Key-Pair-Id=K1LXZK7POOSHBA,"Ambulance detected responding to incident at Freeway Insurance, 9800 block of Sierra Ave. Suite B 2, Fontana, CA",gemini/gemini-1.5-pro,,,,,,,,,URL expired — re-run with fresh presigned URLs
3,https://alertmedia.dataminr.com/Prod/vz/image/2023/6/19/PrhxenPmhBBSUN3AGGaIxSe4i9E0.jpg?Expires=1718756331&Signature=crqy-QaMplLGnWvQp~xPp6rz7hUlvREc1DB5J9aDZ9-W7MQMBmiZlTVEGPFNROjIXHvBw3s204aNQI5jqHuUNxcXz~T1yG7Svm8O0G7I2lSY9nvPB0duOYKC-crGo59hl5w45H5Os4~hRGtpzMxZ7A56nsFJspv~eu2EMZG7iLdVUT204kEmMFkX5kpj9vARB~pBoBfPRVJRzs-bsoXpkUK4ezK546EaWUP4GfMvZRNdpyDUZoqPJnVqPSZrB88JPz7MSHegQEe1vOb1pC1zc95ca-j3S7RzS2~zz6nFKWkFTfiDuehO82sc6TXDsk0-qVjKk6S7lAv2-d1rDYndLg__&Key-Pair-Id=K1LXZK7POOSHBA,"Ambulance detected responding to incident at intersection of  I-40 and Jefferson Street east in Davidson County, TN",gpt-4o,,,,,,,,,URL expired — re-run with fresh presigned URLs
3,https://alertmedia.dataminr.com/Prod/vz/image/2023/6/19/PrhxenPmhBBSUN3AGGaIxSe4i9E0.jpg?Expires=1718756331&Signature=crqy-QaMplLGnWvQp~xPp6rz7hUlvREc1DB5J9aDZ9-W7MQMBmiZlTVEGPFNROjIXHvBw3s204aNQI5jqHuUNxcXz~T1yG7Svm8O0G7I2lSY9nvPB0duOYKC-crGo59hl5w45H5Os4~hRGtpzMxZ7A56nsFJspv~eu2EMZG7iLdVUT204kEmMFkX5kpj9vARB~pBoBfPRVJRzs-bsoXpkUK4ezK546EaWUP4GfMvZRNdpyDUZoqPJnVqPSZrB88JPz7MSHegQEe1vOb1pC1zc95ca-j3S7RzS2~zz6nFKWkFTfiDuehO82sc6TXDsk0-qVjKk6S7lAv2-d1rDYndLg__&Key-Pair-Id=K1LXZK7POOSHBA,"Ambulance detected responding to incident at intersection of  I-40 and Jefferson Street east in Davidson County, TN",claude-3-5-sonnet-20241022,,,,,,,,,URL expired — re-run with fresh presigned URLs
3,https://alertmedia.dataminr.com/Prod/vz/image/2023/6/19/PrhxenPmhBBSUN3AGGaIxSe4i9E0.jpg?Expires=1718756331&Signature=crqy-QaMplLGnWvQp~xPp6rz7hUlvREc1DB5J9aDZ9-W7MQMBmiZlTVEGPFNROjIXHvBw3s204aNQI5jqHuUNxcXz~T1yG7Svm8O0G7I2lSY9nvPB0duOYKC-crGo59hl5w45H5Os4~hRGtpzMxZ7A56nsFJspv~eu2EMZG7iLdVUT204kEmMFkX5kpj9vARB~pBoBfPRVJRzs-bsoXpkUK4ezK546EaWUP4GfMvZRNdpyDUZoqPJnVqPSZrB88JPz7MSHegQEe1vOb1pC1zc95ca-j3S7RzS2~zz6nFKWkFTfiDuehO82sc6TXDsk0-qVjKk6S7lAv2-d1rDYndLg__&Key-Pair-Id=K1LXZK7POOSHBA,"Ambulance detected responding to incident at intersection of  I-40 and Jefferson Street east in Davidson County, TN",gemini/gemini-1.5-pro,,,,,,,,,URL expired — re-run with fresh presigned URLs
4,https://alertmedia.dataminr.com/Prod/vz/image/2023/8/9/DSLPGpWolcxgTKfByJOvwTHoF0o0.jpg?Expires=1723211873&Signature=zFFa7-rPQtlIthuCaaAZCbbuowN72zkOPn98xYM2bov8tVial-UOm9Lc3I8TAH3QkogFPkfupJOoJMHMV6bPomag78IcIIW9qDsi3zjcL4lOkeHibud8f5Wpbe3yZmDMIKJIPFmG7ZoWlrfRA6NCtY2QpZWXDFsTsj6UNKiJfttkNAMT4BiFUQZgAyUSAJ~gbJIQKeXxYl1CtwqjVyA3G~PDI2obeIN3P5BR~CIqXEZVhmxxLRKtJlucCVfinMgDFlPsOOidtPBTTomt4NpyHa-bJ4BfVdaU60O9sK7KWSj3XT365PifSW3y9nSG~3VPkevSHzEMEpFukEkqzUZdGA__&Key-Pair-Id=K1LXZK7POOSHBA,"Ambulance detected responding to incident at intersection of  I-65 and Armory Drive in Oak Hill, TN",gpt-4o,,,,,,,,,URL expired — re-run with fresh presigned URLs
