location,text,result caption
"Springfield, IL 62701, USA","Residents plan a march downtown on Saturday at 3pm against new parking fees, expecting to fill the main square.",
"Dublin, Ireland","Residents plan a march downtown on Saturday at 3pm against new parking fees, expecting to fill the main square.",
"London, UK","Protesters will gather Friday outside the US Embassy to denounce Washington's new sanctions policy, organizers expect hundreds to block Grosvenor Square.",
"Miami, FL 33131, USA","Manifestación mañana a las 17:00 frente al consulado para exigir la liberación de los presos políticos. Se espera que se bloquee la avenida Brickell.",
"Toronto, ON, Canada","Solidarity rally with the New York protesters this Sunday at 2pm — we march from Nathan Phillips Square to the US Consulate.",
"Phoenix, AZ 85003, USA","Grève générale annoncée lundi: les travailleurs bloqueront l'entrée principale de l'usine dès 6h du matin.",
"Sydney NSW 2000, Australia","Protest at City Hall tomorrow 5pm against the housing bill — bring signs, we will march down George Street.",
"Denver, CO 80202, USA","Protest at City Hall tomorrow 5pm against the housing bill — bring signs, we will march down the main avenue.",
"Paris, France","BREAKING: American expats and students blocking traffic near the embassy over new visa rules, police deployed.",
"Boston, MA 02201, USA","تجمع اعتراضی فردا ساعت ۶ عصر مقابل ساختمان شهرداری برگزار می‌شود و معترضان قصد دارند خیابان اصلی را مسدود کنند.",
